2023-01-16T13:22:27 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:27 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:27 GMT-0600 (Central Standard Time)
2023-01-16T13:22:36 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:36 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:36 GMT-0600 (Central Standard Time)
2023-01-16T13:22:38 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:39 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:39 GMT-0600 (Central Standard Time)
2023-01-16T13:22:40 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:40 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:40 GMT-0600 (Central Standard Time)
2023-01-16T13:22:42 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:42 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:42 GMT-0600 (Central Standard Time)
2023-01-16T13:22:45 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:45 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:45 GMT-0600 (Central Standard Time)
2023-01-16T13:22:47 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:47 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:47 GMT-0600 (Central Standard Time)
2023-01-16T13:22:48 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:48 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:48 GMT-0600 (Central Standard Time)
2023-01-16T13:22:51 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:22:51 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:22:51 GMT-0600 (Central Standard Time)
